GENE	REF1	REF2	CORR
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Adipose_Visceral_Omentum	 0.49570
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Artery_Aorta	 0.79644
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Artery_Aorta	 0.53432
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Artery_Tibial	 0.77734
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Artery_Tibial	 0.50212
ENSG00000006432.11:MAP3K9	Artery_Aorta	Artery_Tibial	 0.84624
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Brain_Cerebellar_Hemisphere	 0.69672
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Brain_Cerebellar_Hemisphere	 0.39800
ENSG00000006432.11:MAP3K9	Artery_Aorta	Brain_Cerebellar_Hemisphere	 0.79082
ENSG00000006432.11:MAP3K9	Artery_Tibial	Brain_Cerebellar_Hemisphere	 0.69911
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Cells_Transformed_fibroblasts	 0.28213
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Cells_Transformed_fibroblasts	 0.11685
ENSG00000006432.11:MAP3K9	Artery_Aorta	Cells_Transformed_fibroblasts	 0.18143
ENSG00000006432.11:MAP3K9	Artery_Tibial	Cells_Transformed_fibroblasts	 0.18378
ENSG00000006432.11:MAP3K9	Brain_Cerebellar_Hemisphere	Cells_Transformed_fibroblasts	-0.04452
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Colon_Sigmoid	 0.58854
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Colon_Sigmoid	 0.38540
ENSG00000006432.11:MAP3K9	Artery_Aorta	Colon_Sigmoid	 0.55878
ENSG00000006432.11:MAP3K9	Artery_Tibial	Colon_Sigmoid	 0.48810
ENSG00000006432.11:MAP3K9	Brain_Cerebellar_Hemisphere	Colon_Sigmoid	 0.46237
ENSG00000006432.11:MAP3K9	Cells_Transformed_fibroblasts	Colon_Sigmoid	 0.31286
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Esophagus_Gastroesophageal_Junction	 0.52616
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Esophagus_Gastroesophageal_Junction	 0.12659
ENSG00000006432.11:MAP3K9	Artery_Aorta	Esophagus_Gastroesophageal_Junction	 0.72195
ENSG00000006432.11:MAP3K9	Artery_Tibial	Esophagus_Gastroesophageal_Junction	 0.63981
ENSG00000006432.11:MAP3K9	Brain_Cerebellar_Hemisphere	Esophagus_Gastroesophageal_Junction	 0.73850
ENSG00000006432.11:MAP3K9	Cells_Transformed_fibroblasts	Esophagus_Gastroesophageal_Junction	 0.04304
ENSG00000006432.11:MAP3K9	Colon_Sigmoid	Esophagus_Gastroesophageal_Junction	 0.34800
ENSG00000006432.11:MAP3K9	Adipose_Subcutaneous	Esophagus_Muscularis	 0.79660
ENSG00000006432.11:MAP3K9	Adipose_Visceral_Omentum	Esophagus_Muscularis	 0.49924
ENSG00000006432.11:MAP3K9	Artery_Aorta	Esophagus_Muscularis	 0.93612
ENSG00000006432.11:MAP3K9	Artery_Tibial	Esophagus_Muscularis	 0.92278
ENSG00000006432.11:MAP3K9	Brain_Cerebellar_Hemisphere	Esophagus_Muscularis	 0.88328
ENSG00000006432.11:MAP3K9	Cells_Transformed_fibroblasts	Esophagus_Muscularis	 0.09572
ENSG00000006432.11:MAP3K9	Colon_Sigmoid	Esophagus_Muscularis	 0.51528
