PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000003249.9.wgt.RDat	DBNDD1	16	90071273	90086451	0.3022	rs101151	-2.39	rs1805007	 1.29e-01	  5.75	 0.8230	278	  6	lasso	 0.117400	3.99e-08	 0.83145	0.4057
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000005187.7.wgt.RDat	ACSM3	16	20621565	20807446	0.0951	rs9935655	-2.36	rs764138	-1.45e-03	 -3.94	-1.5220	397	397	blup	 0.025671	7.85e-03	 1.20951	0.2265
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000007038.6.wgt.RDat	PRSS21	16	 2867164	 2876305	0.1972	rs2285675	 2.47	rs4785908	 1.63e-02	 -4.20	 0.4350	306	306	blup	 0.046398	5.07e-04	-0.35556	0.7222
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000007376.3.wgt.RDat	RPUSD1	16	  834974	  837981	0.1361	rs753357	 3.17	rs3765263	 4.23e-02	 -4.32	-0.7840	461	  5	lasso	 0.020345	1.61e-02	 0.66592	0.5055
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000040199.14.wgt.RDat	PHLPP2	16	71678654	71758604	0.1672	rs16971009	-3.19	rs4788828	 1.51e-01	  6.55	-0.0640	439	 13	enet	 0.155016	2.15e-10	-0.07472	0.9404
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000051523.6.wgt.RDat	CYBA	16	88709691	88717560	0.2050	rs8191497	 3.72	rs3794624	 1.38e-01	 -5.87	-0.1360	374	  2	lasso	 0.118878	3.26e-08	 0.14776	0.8825
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000059122.12.wgt.RDat	FLYWCH1	16	 2961938	 3001209	0.8479	rs2285675	 2.49	rs9928222	 6.37e-01	 12.31	-0.4740	340	 47	enet	 0.661358	3.70e-57	-0.52374	0.6005
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000063854.8.wgt.RDat	HAGH	16	 1845621	 1876967	0.3164	rs17808854	-2.47	rs2982446	 1.89e-01	  7.44	-0.3750	476	476	blup	 0.258639	3.80e-17	-0.69049	0.4899
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000065457.6.wgt.RDat	ADAT1	16	75630879	75657198	0.4125	rs4888444	-2.55	rs3863448	 2.66e-01	  9.09	-1.7980	392	 20	enet	 0.352522	4.31e-24	-1.53686	0.1243
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000072736.14.wgt.RDat	NFATC3	16	68118654	68255187	0.1397	rs4783553	 1.48	rs255054	-8.55e-05	  3.84	 0.0156	276	276	blup	 0.045426	5.76e-04	-0.52234	0.6014
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000072864.8.wgt.RDat	NDE1	16	15737124	15820210	0.1671	rs8187863	-2.26	rs7206272	 6.30e-02	  5.09	 0.6290	411	  5	lasso	 0.107906	1.45e-07	 1.04104	0.2979
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000074071.9.wgt.RDat	MRPS34	16	 1821891	 1823156	0.1406	rs17808854	-2.47	rs2575329	-3.66e-03	  3.35	-0.5340	475	475	blup	 0.032972	2.97e-03	-0.39701	0.6914
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000075399.8.wgt.RDat	VPS9D1	16	89773542	89787392	0.1836	rs101151	-2.39	rs2099105	 1.30e-02	  4.37	-1.0700	408	  4	lasso	 0.030639	4.05e-03	-1.11422	0.2652
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000076344.11.wgt.RDat	RGS11	16	  318300	  325940	0.1243	rs216590	-2.39	rs2685126	 2.21e-02	  4.66	-0.5930	343	 15	enet	 0.031754	3.49e-03	-0.49267	0.6222
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000085644.9.wgt.RDat	ZNF213	16	 3179778	 3192806	0.2103	rs2285675	 2.85	rs2280950	 1.31e-01	  6.02	-1.1750	390	  5	lasso	 0.149008	5.01e-10	-1.00654	0.3142
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000085721.8.wgt.RDat	RRN3	16	15153879	15188174	0.1364	rs8062460	 1.38	rs11863214	 8.82e-02	  4.95	 1.0430	102	  2	lasso	 0.075470	1.11e-05	 1.04303	0.2969
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000086504.11.wgt.RDat	MRPL28	16	  417384	  420527	0.2116	rs216590	-2.39	rs763144	-4.01e-03	 -3.77	-0.4880	381	381	blup	 0.032122	3.33e-03	 0.77141	0.4405
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000089486.12.wgt.RDat	CDIP1	16	 4560676	 4588829	0.1433	rs6500585	 3.97	rs6500605	 5.30e-02	 -4.61	-2.1530	427	  6	lasso	 0.052259	2.35e-04	 2.16714	0.0302
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000090238.7.wgt.RDat	YPEL3	16	30103635	30107565	0.1763	rs7204270	 2.67	rs7205802	 2.18e-01	  7.36	 1.2690	226	  2	lasso	 0.212107	5.17e-14	 1.26913	0.2044
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000091262.10.wgt.RDat	ABCC6	16	16242785	16317379	0.1934	rs8187863	-2.26	rs9930886	 2.73e-02	 -3.99	-0.3594	356	356	blup	 0.049104	3.55e-04	 0.22748	0.8201
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000095917.9.wgt.RDat	TPSD1	16	 1306060	 1308532	0.6184	rs753357	 3.17	rs12934797	 2.38e-01	 -8.22	 1.0477	448	  6	lasso	 0.509370	2.90e-38	-1.12151	0.2621
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000099365.5.wgt.RDat	STX1B	16	31000577	31021949	0.1181	rs9937837	 2.61	rs12445568	 9.78e-02	  5.73	 0.4230	231	  4	lasso	 0.106912	1.66e-07	 0.64169	0.5211
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000099377.9.wgt.RDat	HSD3B7	16	30996519	31000473	0.2165	rs9937837	 2.61	rs12445568	 1.83e-01	  6.65	 0.4230	231	  4	lasso	 0.163198	6.72e-11	 0.50998	0.6101
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000100726.10.wgt.RDat	TELO2	16	 1543345	 1560427	0.3031	rs753357	 3.17	rs2667666	 1.12e-01	 -5.93	-1.1320	499	  4	lasso	 0.077541	8.41e-06	 0.86409	0.3875
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000102858.8.wgt.RDat	MGRN1	16	 4666494	 4740975	0.5720	rs6500585	 3.97	rs1684615	 4.39e-01	-10.14	-0.5690	421	 25	enet	 0.491416	1.98e-36	 1.10477	0.2693
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000102890.10.wgt.RDat	ELMO3	16	67233014	67237932	0.0616	rs12446736	 1.98	rs7200919	-2.90e-03	  3.18	-0.8960	262	262	blup	 0.002754	2.00e-01	 0.36186	0.7175
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000102893.11.wgt.RDat	PHKB	16	47495186	47735434	0.0385	rs12149656	 2.18	rs8054830	 1.60e-02	 -3.08	 1.0120	183	183	blup	 0.006594	1.11e-01	-0.52426	0.6001
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000102910.9.wgt.RDat	LONP2	16	48278207	48391260	0.1261	rs16945919	 2.39	rs8053839	 9.07e-02	 -4.99	 0.7980	232	  9	enet	 0.074451	1.27e-05	-0.17634	0.8600
Stomach	./GTEx_v7/Stomach/Stomach.ENSG00000102962.4.wgt.RDat	CCL22	16	57392684	57400102	0.2207	rs13332223	 3.45	rs7205731	-4.11e-03	  3.08	 0.5120	569	569	blup	 0.032682	3.09e-03	 1.43790	0.1505
