PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000001617.7.wgt.RDat	ENSG00000001617.7:SEMA3F	3	5.02e+07	5.02e+07	0.0373	rs34762184	-1.766	rs3774745	1.60e-02	4.08	-0.08300	353	18	enet	0.03685	9.06e-05	0.40071	6.89e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000004534.10.wgt.RDat	ENSG00000004534.10:RBM6	3	5.00e+07	5.01e+07	0.4539	rs17606778	1.635	rs4688755	5.15e-01	14.19	-0.13100	340	41	enet	0.52675	2.98e-64	-0.20416	8.38e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000008300.10.wgt.RDat	ENSG00000008300.10:CELSR3	3	4.87e+07	4.87e+07	0.0380	rs11706153	2.228	rs6779394	1.43e-02	-4.03	-0.35500	257	3	lasso	0.00413	1.08e-01	0.87645	3.81e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000008324.6.wgt.RDat	ENSG00000008324.6:SS18L2	3	4.26e+07	4.26e+07	0.0890	rs7628932	-2.470	rs2271186	3.07e-02	-4.22	1.44000	471	9	enet	0.03793	7.24e-05	-1.25807	2.08e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000008952.12.wgt.RDat	ENSG00000008952.12:SEC62	3	1.70e+08	1.70e+08	0.0534	rs41495746	-2.868	rs9868869	1.74e-02	4.13	0.04400	392	7	enet	0.02028	2.99e-03	-0.12537	9.00e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000011376.5.wgt.RDat	ENSG00000011376.5:LARS2	3	4.54e+07	4.56e+07	0.2923	rs952621	3.003	rs12638088	2.40e-01	-9.79	0.73500	512	5	lasso	0.24617	1.79e-25	-0.67055	5.03e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000013297.6.wgt.RDat	ENSG00000013297.6:CLDN11	3	1.70e+08	1.71e+08	0.2102	rs13078511	-2.853	rs1023599	1.00e-01	-6.67	-0.56200	382	5	lasso	0.09807	2.10e-10	0.27680	7.82e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000016391.6.wgt.RDat	ENSG00000016391.6:CHDH	3	5.38e+07	5.39e+07	0.1003	rs1380608	-2.526	rs9864389	5.87e-02	5.92	0.40800	506	3	lasso	0.04153	3.40e-05	0.41588	6.77e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000018408.10.wgt.RDat	ENSG00000018408.10:WWTR1	3	1.49e+08	1.49e+08	0.1596	rs7632041	3.101	rs13325622	2.77e-02	4.64	-0.76800	481	481	blup	0.04225	2.92e-05	1.31127	1.90e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000031081.6.wgt.RDat	ENSG00000031081.6:ARHGAP31	3	1.19e+08	1.19e+08	0.0860	rs6795381	-3.434	rs7637171	1.09e-02	-3.97	-0.24900	508	508	blup	0.02408	1.33e-03	0.79299	4.28e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000033867.12.wgt.RDat	ENSG00000033867.12:SLC4A7	3	2.74e+07	2.75e+07	0.1641	rs9849464	-2.339	rs2724524	7.40e-02	-5.91	0.19700	402	3	lasso	0.07090	7.04e-08	-0.27728	7.82e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000034533.7.wgt.RDat	ENSG00000034533.7:ASTE1	3	1.31e+08	1.31e+08	0.1520	rs7636350	-1.791	rs2057444	1.47e-01	-8.32	-0.22500	340	14	enet	0.15830	3.10e-16	0.21684	8.28e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000036054.8.wgt.RDat	ENSG00000036054.8:TBC1D23	3	1.00e+08	1.00e+08	0.0648	rs3850726	2.827	rs2028494	4.95e-04	3.95	-1.56800	358	18	enet	0.00794	4.44e-02	-2.32361	2.01e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000041802.6.wgt.RDat	ENSG00000041802.6:LSG1	3	1.94e+08	1.94e+08	0.6315	rs7612496	-2.864	rs3821402	4.55e-01	13.26	-0.68245	536	9	lasso	0.45564	1.31e-52	-0.63192	5.27e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000044524.6.wgt.RDat	ENSG00000044524.6:EPHA3	3	8.92e+07	8.95e+07	0.0852	rs10511141	-2.869	rs9815025	2.34e-03	3.84	0.90300	278	278	blup	0.00575	7.37e-02	1.06461	2.87e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000051382.4.wgt.RDat	ENSG00000051382.4:PIK3CB	3	1.38e+08	1.39e+08	0.0492	rs4894342	1.671	rs11706016	3.77e-02	-4.96	-0.16800	306	4	enet	0.02899	4.73e-04	0.39162	6.95e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000053524.7.wgt.RDat	ENSG00000053524.7:MCF2L2	3	1.83e+08	1.83e+08	0.2427	rs9882050	2.262	rs4859188	7.46e-02	-6.08	0.63700	421	20	enet	0.08165	7.16e-09	-1.04128	2.98e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000055955.11.wgt.RDat	ENSG00000055955.11:ITIH4	3	5.28e+07	5.29e+07	0.5040	rs2255107	2.178	rs2276817	2.85e-01	10.55	1.55600	389	6	lasso	0.28208	1.49e-29	1.57309	1.16e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000056736.5.wgt.RDat	ENSG00000056736.5:IL17RB	3	5.39e+07	5.39e+07	0.1077	rs1380608	-2.526	rs9840079	6.27e-02	-5.45	-0.09600	506	5	lasso	0.04192	3.13e-05	0.08063	9.36e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000057019.11.wgt.RDat	ENSG00000057019.11:DCBLD2	3	9.85e+07	9.86e+07	0.1044	rs278370	3.308	rs278379	7.26e-02	-5.48	-1.47900	400	10	enet	0.05231	3.55e-06	1.28738	1.98e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000058063.11.wgt.RDat	ENSG00000058063.11:ATP11B	3	1.83e+08	1.83e+08	0.2149	NA	NA	NA	NA	NA	NA	360	0	lasso	0.15459	7.24e-16	NA	NA
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000064225.8.wgt.RDat	ENSG00000064225.8:ST3GAL6	3	9.85e+07	9.85e+07	0.1386	rs278370	3.308	rs2290067	2.31e-02	-4.39	2.17700	397	397	blup	0.04834	8.17e-06	-1.72037	8.54e-02
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000068028.13.wgt.RDat	ENSG00000068028.13:RASSF1	3	5.04e+07	5.04e+07	0.1132	rs34762184	-1.766	rs2624842	7.13e-02	5.33	0.21400	337	9	lasso	0.07793	1.58e-08	0.20022	8.41e-01
Adipose_Subcutaneous	./GTEx_v7/Adipose_Subcutaneous/Adipose_Subcutaneous.ENSG00000070087.9.wgt.RDat	ENSG00000070087.9:PFN2	3	1.50e+08	1.50e+08	0.3125	rs4305439	3.672	rs9865402	2.43e-02	-5.20	-1.21000	416	416	blup	0.10910	1.90e-11	0.91351	3.61e-01
