PANEL	FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000002587.5.wgt.RDat	HS3ST1	4	1.14e+07	1.14e+07	0.1585	rs10003762	 3.93	rs12643229	-1.97e-03	 -3.35	-0.475	607	607	blup	 1.88e-02	3.55e-03	 1.50170	0.133173
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000004468.8.wgt.RDat	CD38	4	1.58e+07	1.59e+07	0.2268	rs11730743	 4.00	rs7688839	 5.58e-02	 -5.64	-1.035	556	 11	lasso	 8.12e-02	4.27e-09	 1.59839	0.109955
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000007062.7.wgt.RDat	PROM1	4	1.60e+07	1.61e+07	0.3096	rs11730743	 4.00	rs10516297	 1.87e-01	  8.72	 3.247	581	  9	lasso	 2.03e-01	1.47e-21	 3.22281	0.001269
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000013288.4.wgt.RDat	MAN2B2	4	6.58e+06	6.63e+06	0.3672	rs4495116	-3.71	rs4689486	 1.78e-01	 -8.60	 1.219	530	  5	lasso	 2.00e-01	3.57e-21	-2.04569	0.040787
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000013810.14.wgt.RDat	TACC3	4	1.72e+06	1.75e+06	0.1811	rs12641597	 2.49	rs1665366	 1.72e-02	  4.79	 1.127	271	271	blup	 5.74e-02	7.86e-07	-0.80885	0.418600
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000014824.9.wgt.RDat	SLC30A9	4	4.20e+07	4.21e+07	0.1510	rs16853408	 3.20	rs13122139	 3.09e-02	 -5.04	 0.728	424	 44	enet	 5.36e-02	1.82e-06	 1.03626	0.300082
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000018189.8.wgt.RDat	RUFY3	4	7.16e+07	7.17e+07	0.0910	rs35651479	 2.31	rs6856051	 1.77e-02	 -4.24	-0.048	390	  6	lasso	 6.26e-03	6.20e-02	 0.28590	0.774954
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000033178.8.wgt.RDat	UBA6	4	6.85e+07	6.86e+07	0.1834	rs353172	-2.08	rs1038432	 3.71e-02	 -5.12	-0.612	402	 21	enet	 8.03e-02	5.28e-09	 2.07547	0.037943
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000038002.4.wgt.RDat	AGA	4	1.78e+08	1.78e+08	0.6508	rs10013040	 2.92	rs4690522	 4.33e-01	-13.18	-0.294	444	 14	lasso	 4.71e-01	6.18e-57	 0.30560	0.759909
Thyroid	./GTEx_v7/Thyroid/Thyroid.ENSG00000038210.9.wgt.RDat	PI4K2B	4	2.52e+07	2.53e+07	0.1816	rs6448309	-3.22	rs6448334	 7.91e-02	  7.37	-0.598	549	  9	lasso	 1.58e-01	1.03e-16	 0.53181	0.594855
