ENSGID	GENE	DESCRIPTION	GENE_TYPE	CHR	START	END	nPredEBM	pPredEBM	nPredHMP	pPredHMP	nTWAShmp	pTWAShmp	nTWASomni	pTWASomni	minP	maxPpred	maxPtwas	Near_GWAS
ENSG00000116990	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog [Source:HGNC Symbol;Acc:7555]	protein_coding	1	40361098	40367928	8	0.000322092187563505	8	0.00385902760810551	4	0.00146272122266631	3	0.00499	0.000322092187563505	0.00385902760810551	0.00499	no
ENSG00000235615	AJ239322.1		lincRNA	2	132722304	132737446	10	0.00162955543099438	10	0.000159648708685307	2	0.00457478520698151	2	0.00805	0.000159648708685307	0.00162955543099438	0.00805	no
ENSG00000153246	PLA2R1	phospholipase A2 receptor 1, 180kDa [Source:HGNC Symbol;Acc:9042]	protein_coding	2	160788519	160919121	23	0.00877623300687794	23	0.000626330777039547	23	0.00784039763485497	23	0.00523	0.000626330777039547	0.00877623300687794	0.00784039763485497	no
ENSG00000121871	SLITRK3	SLIT and NTRK-like family, member 3 [Source:HGNC Symbol;Acc:23501]	protein_coding	3	164904508	164914897	7	0.000176252690818401	7	0.00118749761002546	2	0.00807082652512705	2	0.0071	0.000176252690818401	0.00118749761002546	0.00807082652512705	no
ENSG00000188729	OSTN	osteocrin [Source:HGNC Symbol;Acc:29961]	protein_coding	3	190917030	190983404	10	0.00910366225691229	10	0.00954009845399349	8	0.00553043486039755	8	0.00218	0.00218	0.00954009845399349	0.00553043486039755	no
ENSG00000224769	AC069213.1		pseudogene	3	195341818	195347104	47	0.00367499245025261	47	3.30857813989983e-05	47	0.00485896832909724	42	0.000154	3.30857813989983e-05	0.00367499245025261	0.00485896832909724	yes
ENSG00000176945	MUC20	mucin 20, cell surface associated [Source:HGNC Symbol;Acc:23282]	protein_coding	3	195447753	195467994	49	0.00228559845161256	49	0.000332603911281972	47	0.000242062260155113	29	0.000212	0.000212	0.00228559845161256	0.000242062260155113	yes
ENSG00000145113	MUC4	mucin 4, cell surface associated [Source:HGNC Symbol;Acc:7514]	protein_coding	3	195473636	195539148	26	0.00677854395518475	26	0.000501118368570432	32	0.000323260554820373	28	9.33e-06	9.33e-06	0.00677854395518475	0.000323260554820373	yes
ENSG00000185485	SDHAP1	succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 1 [Source:HGNC Symbol;Acc:32455]	pseudogene	3	195686619	195717187	45	1.37550717029437e-07	45	9.0955083223886e-08	40	3.83403386588685e-07	39	0.000228	9.0955083223886e-08	1.37550717029437e-07	0.000228	yes
ENSG00000273308	RP11-496H1.2		lincRNA	3	197372540	197372888	8	0.00668401854889173	8	0.000311151197908889	2	0.00733678948643339	2	0.00803	0.000311151197908889	0.00668401854889173	0.00803	no
